epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.6224749480700073,0.7061266874350987,0.580132526691985,0.8188405797101449
2,0.5266091843693674,0.7798546209761164,0.36688319770034383,0.893719806763285
3,0.4319764938851507,0.8452751817237798,0.4460095504415784,0.8816425120772947
4,0.41781788332501923,0.8712357217030114,0.4356991915743132,0.8792270531400966
5,0.26436606958229963,0.9210799584631361,0.38553770743130483,0.893719806763285
6,0.2840819344435154,0.9055036344755971,0.4157675983033318,0.857487922705314
7,0.14846446165023902,0.9584631360332295,0.3564812890816354,0.9251207729468599
8,0.10326719227385237,0.9657320872274143,0.4265522757716081,0.9154589371980676
9,0.03883731327136168,0.9844236760124611,0.4098203693278098,0.9323671497584541
10,0.025783546149985997,0.995846313603323,0.5328156776916897,0.9299516908212561
11,0.08699943019809281,0.9771547248182763,0.35681839670748605,0.9251207729468599
12,0.018981182569223733,0.995846313603323,0.42880522589166065,0.927536231884058
13,0.008592108450159053,0.9979231568016614,0.47413346718334265,0.9251207729468599
